feature,mean_abs_shap,rank
max_f102,0.08075945,1
max_f155,0.054783657,2
max_f127,0.040470656,3
max_f157,0.034370046,4
mean_f056,0.03428701,5
mean_f172,0.032136377,6
max_f172,0.024389302,7
mean_f018,0.023094706,8
mean_f001,0.02258965,9
mean_f004,0.022481889,10
max_f061,0.020271612,11
last_f040,0.018260142,12
max_f008,0.016825793,13
max_f101,0.016038392,14
mean_f042,0.014724196,15
mean_f040,0.014423724,16
std_f073,0.013397967,17
max_f146,0.01334737,18
max_f173,0.013072822,19
mean_f036,0.012904894,20
max_f164,0.01193678,21
max_f170,0.011566746,22
std_f160,0.011559768,23
max_f006,0.011493467,24
mean_f010,0.0114186695,25
mean_f155,0.011163138,26
mean_f174,0.009871953,27
max_f050,0.00976574,28
max_f129,0.00975722,29
last_f175,0.009751284,30
mean_f175,0.0096512195,31
max_f160,0.009450019,32
mean_f138,0.009448498,33
max_f018,0.009269626,34
last_f003,0.008648769,35
mean_f066,0.008530629,36
max_f175,0.008233743,37
mean_f163,0.008118949,38
last_f087,0.008061478,39
max_f104,0.00795246,40
last_f018,0.007882263,41
mean_f005,0.007746354,42
max_f003,0.007561724,43
max_f147,0.007518439,44
last_f021,0.0073821535,45
max_f161,0.0071643637,46
mean_f031,0.0068814545,47
max_f108,0.006732084,48
mean_f009,0.0066969483,49
mean_f017,0.0064428225,50
mean_f021,0.006347228,51
max_f009,0.0062523712,52
mean_f087,0.0061992193,53
std_f016,0.00604334,54
last_f024,0.0059907963,55
max_f025,0.0058701024,56
max_f007,0.00584014,57
std_f006,0.0057240687,58
mean_f013,0.005409352,59
max_f019,0.0054020653,60
mean_f002,0.005400752,61
mean_f084,0.0053982656,62
mean_f019,0.0053873532,63
max_f174,0.005369769,64
mean_f164,0.0053017708,65
max_f097,0.0052663353,66
max_f039,0.0051828697,67
mean_f037,0.0050453884,68
max_f156,0.005040993,69
mean_f000,0.005030267,70
mean_f014,0.005022746,71
max_f126,0.0049831625,72
max_f169,0.0049326373,73
max_f040,0.0048738304,74
max_f026,0.004854024,75
max_f093,0.0048181894,76
max_f165,0.004779688,77
max_f158,0.0046319934,78
max_f103,0.0046171932,79
mean_f016,0.0045856177,80
mean_f007,0.0045664557,81
std_f029,0.004525037,82
last_f043,0.004492661,83
std_f172,0.0044636466,84
max_f115,0.0044582454,85
max_f038,0.004383298,86
mean_f162,0.004343786,87
max_f138,0.0042435094,88
mean_f140,0.00417082,89
mean_f050,0.004090527,90
max_f089,0.0040516844,91
mean_f006,0.0040503736,92
mean_f032,0.0039945496,93
max_f049,0.003940748,94
mean_f011,0.003883833,95
mean_f096,0.0037364576,96
std_f063,0.0037332785,97
mean_f060,0.0036549282,98
max_f080,0.003542543,99
std_f156,0.0034910087,100
std_f097,0.00347271,101
max_f015,0.0034218982,102
mean_f003,0.003356101,103
mean_f169,0.0033083074,104
mean_f080,0.0032608768,105
mean_f067,0.003255433,106
mean_f015,0.0032524008,107
max_f131,0.0032013159,108
mean_f076,0.00318522,109
max_f106,0.003185195,110
mean_f058,0.0031684875,111
max_f094,0.0031669901,112
